TableID,TableName,Name,DataType,Size,Nullable,Description,IsInCSV,Scrambled
2001000,Team,TeamID,integer,32,False,The team's unique TeamID as assigned by SportsDataIO,False,False
2001000,Team,[Key],string,10,False,Abbreviation of the team (e.g. LAD; PHI; BOS; CHC; etc.),True,False
2001000,Team,Active,boolean,,False,Whether or not this team is active,False,False
2001000,Team,City,string,50,True,The city/location of the team (e.g. Los Angeles; Philadelphia; Boston; Chicago; etc.),True,False
2001000,Team,Name,string,50,True,The mascot of the team (e.g. Dodgers; Phillies; Red Sox; Cubs; etc.),True,False
2001000,Team,StadiumID,integer,32,True,The unique ID of the team's current home stadium,False,False
2001000,Team,League,string,10,True,The league of the team (possible values: AL; NL),True,False
2001000,Team,Division,string,10,True,The division of the team (e.g. East; Central; West),False,False
2001000,Team,PrimaryColor,string,6,True,The team's primary color. (This is not licensed for public or commercial use),True,False
2001000,Team,SecondaryColor,string,6,True,The team's secondary color. (This is not licensed for public or commercial use),True,False
2001000,Team,TertiaryColor,string,6,True,The team's tertiary color. (This is not licensed for public or commercial use),True,False
2001000,Team,QuaternaryColor,string,6,True,The team's quaternary color. (This is not licensed for public or commercial use),True,False
2001000,Team,WikipediaLogoUrl,string,250,True,The link to the team's logo hosted on Wikipedia. (This is not licensed for public or commercial use),True,False
2001000,Team,WikipediaWordMarkUrl,string,250,True,The link to the team's wordmark logo hosted on Wikipedia. (This is not licensed for public or commercial use),True,False
2001000,Team,GlobalTeamID,integer,32,False,A globally unique ID for this team. This value is guaranteed to be unique across all sports/leagues,False,False
2001000,Team,HeadCoach,string,50,True,The current head coach (manager) of the team,False,False
2001000,Team,HittingCoach,string,50,True,The current hitting coach of the team. Note: some teams may have multiple or no hitting coaches,False,False
2001000,Team,PitchingCoach,string,50,True,The current pitching coach of the team. Note: some teams may have multiple or no pitching coaches,False,False
2002000,Stadium,StadiumID,integer,32,False,The unique ID of the stadium,True,False
2002000,Stadium,Active,boolean,,False,Whether or not this stadium is active,False,False
2002000,Stadium,Name,string,100,False,The full name of the stadium,True,False
2002000,Stadium,City,string,50,True,The city where the stadium is located,True,False
2002000,Stadium,State,string,10,True,The state where the stadium is located (only US and Canadian stadiums will have values),False,False
2002000,Stadium,Country,string,10,True,The 3-digit country code where the stadium is located,False,False
2002000,Stadium,Capacity,integer,32,True,The estimated seating capacity of the stadium,True,False
2002000,Stadium,Surface,string,50,True,The playing surface of the stadium (Grass; Artificial or Dome),True,False
2002000,Stadium,LeftField,integer,32,True,The estimated distance between home plate and the left field wall,False,False
2002000,Stadium,MidLeftField,integer,32,True,The estimated distance between home plate and the mid left field wall,False,False
2002000,Stadium,LeftCenterField,integer,32,True,The estimated distance between home plate and the left center field wall,False,False
2002000,Stadium,MidLeftCenterField,integer,32,True,The estimated distance between home plate and the mid left center field wall,False,False
2002000,Stadium,CenterField,integer,32,True,The estimated distance between home plate and the center field wall,False,False
2002000,Stadium,MidRightCenterField,integer,32,True,The estimated distance between home plate and the mid right center field wall,False,False
2002000,Stadium,RightCenterField,integer,32,True,The estimated distance between home plate and the right center field wall,False,False
2002000,Stadium,MidRightField,integer,32,True,The estimated distance between home plate and the mid right field wall,False,False
2002000,Stadium,RightField,integer,32,True,The estimated distance between home plate and the right field wall,False,False
2002000,Stadium,GeoLat,decimal,32,True,The geographic latitude coordinate of this venue,False,False
2002000,Stadium,GeoLong,decimal,32,True,The geographic longitude coordinate of this venue,False,False
2002000,Stadium,Altitude,integer,32,True,The altitude of the stadium in feet,False,False
2002000,Stadium,HomePlateDirection,integer,32,True,The direction that the batter is facing while looking at the pitcher's mound. If the home plate is at the north of the stadium; the batter is facing south; so the value is given as 180 degrees. If home plate is at the east the batter faces west; so it's 270 degrees. If the home plate is at the south the batter faces north; so it's 0 degrees. If the home plate is at the west the batter faces east; so it's 90 degrees.,True,False
2002000,Stadium,Type,string,50,True,The type of the stadium (possible values: Outdoor; Dome; RetractableDome),True,False
2003000,Game,GameID,integer,32,False,The unique ID of this game,True,False
2003000,Game,Season,integer,32,False,The MLB season of the game,True,False
2003000,Game,SeasonType,integer,32,False,The type of season stage the game belongs to; e.g. Regular season; Post-season. For a description of possible values and how they work; see <a href="https://support.sportsdata.io/hc/en-us/articles/15196612633623-Process-Guide-Season-Types-and-Parameters" target="_blank">here.,True,False
2003000,Game,Status,string,20,True,The status of the game. For a description of possible values; see <a href="https://support.sportsdata.io/hc/en-us/articles/14287629964567-Process-Guide-Game-Status" target="_blank">here.</a> For how suspended and postponed games are handled specifically; see <a href="https://support.sportsdata.io/hc/en-us/articles/4404845580567-Postponed-and-Rescheduled-Games" target="_blank">here</a>.,True,False
2003000,Game,Day,date,,True,The date of the game,True,False
2003000,Game,DateTime,datetime,,True,The date and time of the game (in US Eastern Time),False,False
2003000,Game,AwayTeam,string,10,False,The abbreviation [Key] of the away team,False,False
2003000,Game,HomeTeam,string,10,False,The abbreviation [Key] of the home team,False,False
2003000,Game,AwayTeamID,integer,32,False,The unique TeamID of the away team,False,False
2003000,Game,HomeTeamID,integer,32,False,The unique ID of the home team,False,False
2003000,Game,RescheduledGameID,integer,32,True,The GameID of the game that was rescheduled from this game. This only pertains to postponed games that require rescheduling.,True,False
2003000,Game,StadiumID,integer,32,True,The unique ID of the stadium,True,False
2003000,Game,Channel,string,50,True,The television station broadcasting the game,True,False
2003000,Game,Inning,integer,32,True,The inning that the game is currently in; or the inning in which the game ended. Possible values include: NULL; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; etc),True,False
2003000,Game,InningHalf,string,1,True,The inning half that the game is currently in; or the inning half in which the game ended (possible values: T; B; E: M: NULL),False,False
2003000,Game,AwayTeamRuns,integer,32,True,Number of runs scored by the away team in the game,False,True
2003000,Game,HomeTeamRuns,integer,32,True,Number of runs scored by the home team in the game,False,True
2003000,Game,AwayTeamHits,integer,32,True,Total hits by the away team in the game,False,True
2003000,Game,HomeTeamHits,integer,32,True,Total hits by the home team in the game,False,True
2003000,Game,AwayTeamErrors,integer,32,True,Total errors committed by the away team in the game,False,True
2003000,Game,HomeTeamErrors,integer,32,True,Total errors committed by the home team in the game,False,True
2003000,Game,WinningPitcherID,integer,32,True,The PlayerID of the pitcher who recorded the win in the game,False,False
2003000,Game,LosingPitcherID,integer,32,True,The PlayerID of the losing pitcher in the game,False,False
2003000,Game,SavingPitcherID,integer,32,True,The PlayerID of the pitcher who recorded the save in the game,False,False
2003000,Game,Attendance,integer,32,True,Total number of people who attended the game,False,False
2003000,Game,AwayTeamProbablePitcherID,integer,32,True,The PlayerID of the away team's probable pitcher,True,False
2003000,Game,HomeTeamProbablePitcherID,integer,32,True,The PlayerID of the home team's probable pitcher,True,False
2003000,Game,Outs,integer,32,True,The number of outs recorded in the current inning of the game,False,False
2003000,Game,Balls,integer,32,True,The number of balls thrown for the current at bat,True,False
2003000,Game,Strikes,integer,32,True,The number of strikes thrown for the current at bat,True,False
2003000,Game,CurrentPitcherID,integer,32,True,The PlayerID of the current pitcher,True,False
2003000,Game,CurrentHitterID,integer,32,True,The PlayerID of the current hitter,True,False
2003000,Game,AwayTeamStartingPitcherID,integer,32,True,The PlayerID of the away team's starting pitcher,False,False
2003000,Game,HomeTeamStartingPitcherID,integer,32,True,The PlayerID of the home team starting pitcher in the game,False,False
2003000,Game,CurrentPitchingTeamID,integer,32,True,The TeamID of the current pitcher's team,True,False
2003000,Game,CurrentHittingTeamID,integer,32,True,The TeamID of the current hitter's team,True,False
2003000,Game,PointSpread,decimal,32,True,The consensus Run Line at game start from the perspective of the HomeTeam (in the Game table; the PointSpread field's negative numbers indicate the HomeTeam is favored; positive numbers indicate the AwayTeam is favored. Note that this rule does not hold in betting-related tables; where the run line is contingent on the bet line). Note: In MLB; Point Spread may also be referred to as Run Line,False,True
2003000,Game,OverUnder,decimal,32,True,The oddsmaker total points line at game start,False,True
2003000,Game,AwayTeamMoneyLine,integer,32,True,Moneyline from the perspective of the away team,False,True
2003000,Game,HomeTeamMoneyLine,integer,32,True,Moneyline from the perspective of the home team,False,True
2003000,Game,ForecastTempLow,integer,32,True,The forecasted low temperature on game day at this venue (in Fahrenheit),False,True
2003000,Game,ForecastTempHigh,integer,32,True,The forecasted high temperature on game day at this venue (in Fahrenheit),False,True
2003000,Game,ForecastDescription,string,50,True,The description of the weather forecast. Posible values include: Broken Clouds; Clear Sky; Few Clouds; Heavy Intensity Rain; Light Rain; Moderate Rain; Mostly Cloudy; Mostly Sunny; Overcast Clouds; Partly Cloudy; Scattered Clouds; Showers; Thunderstorms,True,True
2003000,Game,ForecastWindChill,integer,32,True,The forecasted wind chill on game day at this venue.,True,True
2003000,Game,ForecastWindSpeed,integer,32,True,The forecasted wind speed on game day at this venue.,True,True
2003000,Game,ForecastWindDirection,integer,32,True,The wind direction isn't baseball specific.  It refers to the direction that the wind is coming from.  90 would be wind coming from the east.  180 is wind from the south.  270 is a wind from the west ... and so on.,True,True
2003000,Game,RescheduledFromGameID,integer,32,True,The GameID of the originally scheduled; postponed game; that this game was rescheduled from. This only pertains to games that are scheduled as "make up" games.,True,True
2003000,Game,RunnerOnFirst,boolean,,True,Indicates if there is a runner on first base,False,True
2003000,Game,RunnerOnSecond,boolean,,True,Indicates if there is a runner on second base,False,True
2003000,Game,RunnerOnThird,boolean,,True,Indicates if there is a runner on third base,False,True
2003000,Game,AwayTeamStartingPitcher,string,50,True,The first and last name of the away team's starting pitcher for the game,False,True
2003000,Game,HomeTeamStartingPitcher,string,50,True,The first and last name of the home team starting pitcher for the game,False,True
2003000,Game,CurrentPitcher,string,50,True,Indicates the current pitcher's name,True,True
2003000,Game,CurrentHitter,string,50,True,Indicates the current hitter's name,True,True
2003000,Game,WinningPitcher,string,50,True,The name of the pitcher who recorded the win in the game,False,True
2003000,Game,LosingPitcher,string,50,True,The first and last name of the losing pitcher in the game,False,True
2003000,Game,SavingPitcher,string,50,True,The name of the pitcher who recorded the save in the game,False,True
2003000,Game,DueUpHitterID1,integer,32,True,The PlayerID of the hitter due up first from the current hitter,False,True
2003000,Game,DueUpHitterID2,integer,32,True,The PlayerID of the hitter due up second from the current hitter,False,True
2003000,Game,DueUpHitterID3,integer,32,True,The PlayerID of the hitter due up third from the current hitter,False,True
2003000,Game,GlobalGameID,integer,32,False,A globally unique ID for this game. This value is guaranteed to be unique across all sports/leagues,False,False
2003000,Game,GlobalAwayTeamID,integer,32,False,A globally unique ID for the away team. This value is guaranteed to be unique across all sports/leagues,False,False
2003000,Game,GlobalHomeTeamID,integer,32,False,A globally unique ID for the home team. This value is guaranteed to be unique across all sports/leagues.,False,False
2003000,Game,PointSpreadAwayTeamMoneyLine,integer,32,True,The moneyline payout odds when betting on the away team with the run line,False,True
2003000,Game,PointSpreadHomeTeamMoneyLine,integer,32,True,The moneyline payout odds when betting on the home team with the run line,False,True
2003000,Game,LastPlay,string,250,True,The description of the most recent play/event of the game. This is for display purposes and does not include corresponding data points.,True,True
2003000,Game,IsClosed,boolean,,False,Indicates whether the game is over and the final score has been verified and closed out. Note: it is recommend for bet resulting to use IsClosed = True rather than simply Final game status,False,False
2003000,Game,Updated,datetime,,True,The date and time of the late update made to this record (in US Eastern Time),False,False
2003000,Game,Innings,Inning[],,True,The inning details associated with the game,False,False
2003000,Game,GameEndDateTime,datetime,,True,The date and time that the game ended in US Eastern Time,True,False
2003000,Game,HomeRotationNumber,integer,32,True,Rotation number of home team for this game,True,True
2003000,Game,AwayRotationNumber,integer,32,True,Rotation number of away team for this game,True,True
2003000,Game,NeutralVenue,boolean,,True,Indicates whether this game is played in a neutral venue. Note: Neutral = True; not neutral = False,False,False
2003000,Game,InningDescription,string,50,True,The current status of the inning for display purposes (possible values: Top 2; Mid 2; Bot 2; End 2; etc),True,False
2003000,Game,OverPayout,integer,32,True,The sportsbook's payout for the over,False,True
2003000,Game,UnderPayout,integer,32,True,The sportsbook's payout for the under,False,True
2003000,Game,SeriesInfo,Series,32,True,Contains relevant series data for postseason series only - HomeTeamWins; AwayTeamWins; GameNumber; and MaxLength,False,False
2003000,Game,DateTimeUTC,datetime,,True,The date and time of the game in UTC,False,False
2003000,Game,HomeTeamOpener,boolean,,True,Indicates whether the home team will use an opener as the starting pitcher. NOTE: An opener is a pitcher (typically a relief pitcher) that is only scheduled to pitch the first 1-3 innings of the game,False,False
2003000,Game,AwayTeamOpener,boolean,,True,Indicates whether the away team will use an opener as the starting pitcher.. NOTE: An opener is a pitcher (typically a relief pitcher) that is only scheduled to pitch the first 1-3 innings of the game,False,False
